firstName	lastName	bio	birth	death	image	nid
John	French, fully Field Marshall John Denton Pinkstone French, 1st Earl of Ypres, aka The Viscount French	British and Anglo-Irish Officer Field Marshall	1852	1925	200px-John_French%2C_1st_Earl_of_Ypres%2C_Bain_photo_portrait%2C_seated%2C_cropped[1].jpg	190823
French National Assembly - Declaration of the Rights of Man	NULL	NULL	1789	NULL	Declaration-of-the-Rights-of-Man-and-Citizen-1789-French-School-301750[1].jpg	190824
Egon	Friedell, born Egon Friedmann	Austrian Philosopher, Historian, Journalist, Actor, Cabaret Performer (Kabarettist) and Theatre Critic	1878	1938	11346s[1].jpg	190826
Milton	Friedman, fully John Milton Friedman	American Laissez-Faire Economist, Statistician, Academic and Author, Nobel Laureate in Economic Sciences, Professor at University of Chicago	1912	2006	A6HCXY_2293065b[1].jpg	190829
Friedrich	Fröbel, fully  Friedrich Wilhelm August Fröbel	German Pedagogue, student of Pestalozzi who laid the foundation for modern education based on the recognition that children have unique needs and capabilities, developed the concept of the “kindergarten”	1782	1852	Froeb[1].jpg	190833
Daniel	Frohman	American Theatrical Producer and Manager, Film Producer	1851	1940	Daniel%20Frohman-Photo-B&W-Resized[1].jpg	190835
David	Frost, fully Sir David Paradine Frost	English Journalist, Comedian, Writer, Media Personality, TV Talk Show Host	1939	NULL	frost_nixon_1_2-20081205-124447-medium[1].jpg	190836
Roger	Fry, fully Roger Eliot Fry	English Artist and Art Critic	1866	1934	220px-Roger_Fry_self-portrait[1].jpg	190838
Richard	Fuller	American Clergy, One of the Founders of the Southern Baptist Movement	1808	1876	220px-RichardFuller[1].jpg	190839
Margaret	Fuller, fully Sara Margaret Fuller, Marchese Ossoli	American Editor, Essayist, Poet, Teacher, Journalist, Critic and Women's Rights Advocate	1810	1850	495cebc3d5fb058e31418df04e06212d[1].jpg	190840
Timothy	Fuller	American Politician, U.S. Representative from Massachusetts, Chairman of the Committee of Naval Affairs	1778	1835	Timothy_Fuller[1].jpg	190842
William Henry	Furness	American Clergyman, Theologian, Reformer and Abolitionist	1802	1896	Furness1[1].jpg	190843
Abraham ben Jacob	Gabishon	Algerian Physician, Poet and Scholar	1543	1605	2-8-2013_87204_l[1].jpg	190845
Francis J. 	Gable	NULL	1881	NULL	NULL	190846
Emile	Gaboriau	French Novelist, Writer and Journalist	1833	1873	220px-%C3%89mile_Gaboriau[1].jpg	190847
Frank	Gaines, Jr.	Collegiate Heavyweight Boxing Champion featured in Sports Illustrated All America Issue, Engineer	1918	2009	421200_300x300[1].jpeg	190848
J. William	Galbraith	NULL	NULL	NULL	NULL	190849
Zona	Gale	American Author and Playwright, awarded Pulitzer Prize for Drama	1874	1938	WER0301[1].jpeg	190850
Galgacus, sometimes Calgacos or Galgacus	NULL	Leader of Britons, Chieftain of the Caledonian Confederacy	c. 57	c.115	galgacus883[1].jpg	190851
J. G.	Gallimore, fully Jerry G. Gallimore	American Research, Psychic and Founder of the U.S. Psychotronics Association	1940	1988	J%20%20G%20Gallimore_128x128[1].png	190853
Caius Cornelius	Gallus	Roman Poet	66 B.C.	25 B.C.	28798543892604309[1].jpg	190854
John	Galsworthy	English Novelist, Playwright, Awarded Nobel Prize in Literature	1867	1933	John-Galsworthy-001[1].jpg	190855
Simeon ben	Gamaliel	Jewish Tana Sage, Succeeded his father Gamliel I as the Nasi of teh Sanhedrin, Physician 	10 B.C.	70 A.D.	rabbi-sketch[1].jpg	190856
Léon	Gambetta	French Statesman	1838	1882	220px-L%C3%A9on_Gambetta_by_L%C3%A9ge%2C_Paris[1].jpg	190858
David 	Gardner, fully David Pierpont Gardner	American Educator, President of the University of California and President of University of Utah	1933	NULL	grubb-norton[1].jpg	190861
Erle Stanley	Gardner	American Lawyer and Author of Detective Stories	1889	1970	sook_gardner[1].jpg	190862
Howard 	Gardner, fully Howard Earl Gardner	American Developmental Psychologist, Professor at Harvard School of Education	1943	NULL	fea_mi_anewframeofmind[1].jpg	190863
Giuseppe	Garibaldi	Italian Patriot, Privateer, Italian Hero	1807	1882	giuseppe-garibaldi[1].jpg	190865
David	Garrick	English Actor, Dramatist, Theatre Manager and Producer	1717	1779	reynolds80[1].jpg	190866
John Seaman	Garns	American Author of Prosperity Plus	fl. 1938	NULL	51AcThGcavL._SL500_AA300_[1].jpg	190867
Eileen	Garrett	Irish Medium, Founder of the Parapsychology Foundation in New York City and a leading figure in the scientific study of paranormal phenomena during the mid 20th century	1893	1970	garrett[1].jpg	190868
William Lloyd	Garrison	American Journalist, Crusader, Abolitionist, Suffragist and Social Reformer	1805	1879	HD_garrisonWLc[1].jpg	190869
Romain	Gary, born Roman Kacew	Russian-born French Novelist, Diplomat and WWII Aviator	1914	1980	GARY[1].jpg	190871
Caroline Leigh Smith	Gascoigne	British Director of Hutchinson Publishing and Author	1813	1881	9781235915598[1].gif	190872
Madame de	Gasparin, Valérie Boissier de Gasparin	French Poet, Author, Founder of first endowed school of nursing	1813	1894	portrait_of_madame_maurice_denis_1904_postage-r57cdbb5e2ddb4ba8b547ca23a21290bf_xjs8n_8byvr_324[1].jpg	190873
John	Gaule	American on Investment, Business Analysis and Simpicity	NULL	NULL	simplicity[1].jpg	190876
Archibald	Geikie, fully Sir Archibald Geikie	Scottish Geologist and Writer	1835	1924	Geikierepro[1].jpg	190879
Martha	Gellhorn, fully Martha Ellis Gellhorn	American Novelist, Travel Writer, War Correspondent and Journalist, married  Ernest Hemingway	1908	1998	Martha_Gellhorn_stamp[1].jpg	190880
Aulus	Gellius	Latin Author and Grammarian	125	180	gellius1i[1].jpg	190881
Paul	Géraldy, pen name of Paul Lefevre	French Poet, Playwright and Author	1885	1983	220px-Paulgeraldy[1].jpg	190882
Albert Gerard	Schatz	United States Federal Judge	1921	1985	Schatz640x800[1].jpg	190884
Ralph	Gerard, fully Ralph Waldo Gerard	American Neurophysiologist and Behavioral Scientist	1900	1974	gerard[1].gif	190885
Paul	Gerhardt	German Hymn Writer	1607	1676	PaulGerhardt[1].jpg	190886
Walter M.	Germain	American Author of "Magic Power of Your Mind" on Parapsychology	1889	1962	germainwalterm[1].jpg	190887
Joseph	Gerrald	Carribean-born Scottish Martyr, Political Reformer	1763	1796	mw149868[1].jpg	190888
Gersonides, abbreviation of first letters as RalBaG from Levi ben Gerson	NULL	Philosopher and Talmudist	1288	1344	obj_1e430e24aa5613494680e7f98b3865d350130fce[1].jpg	190889
Saint Gertrude, aka Saint Gertrude of Nivelles	NULL	French Abbess of the Benedictine Monastery of Nivelles in present-day Belgium, Patron Saint of the fear of mice (suriphobia)	626	659	GetrudNivelles[1].jpg	190890
Norman	Geschwind	American Pioneering Behavioral Neurologist	1926	1984	cache.002228[1].jpg	190891
Cardinal James	Gibbons	American Cardinal of the Roman Catholic Church	1834	1921	gibbons[1].jpg	190893
Willard	Gibbs, fully Josiah Willard Gibbs	American Mathematical Physicist who made important theoretical contributions to physics, chemistry, and mathematics	1839	1903	GIBBS[1].JPG	190894
John Monroe	Gibson	Scottish-English-Canadian-American Clergy	1838	NULL	11[1].jpg	190895
George F	Gilder	American Writer, Techno-Utopian Intellectual, Republican Party Activist, and Co-Founder of the Discovery Institute	1939	NULL	GeorgeGilder[1].jpg	190896
Virginia	Gildersleeve, fully Virginia Crocheron Gildersleeve	American Academic, Dean of Barnard College, Sole Female Delegate to S.F. United Nations Conference on International Organization which negotiated the UN Charter and created the United Nations	1877	1965`	gildersleeve37[1].jpg	190897
George	Gilfillan	Scottish Dissenting Minister, Author and Spasmotic Poet and Editor of Poetry	1813	1878	gilfillan[1].jpg	190898
James Gordon	Gilkey	American Clergy, Teacher and Chaplain at Amherst College	1889	1964	James%20Gordon%20Gilkey_128x128[1].png	190899
Jerry	Gillies	American Television Newsman, Workshop Leader, Author	1940	NULL	jerry-gillies[1].jpg	190900
Lowell	Gilmore	American Actor	1906	1960	3[1].png	190901
Bernard F.	Gimbel	American Retailer, President of Gimbel Brothers	1885	1966	Gimbel_Bernard_medium[1].jpg	190903
Louis	Ginsberg	Lithuanian-born American Jewish Scholar, Poet, Professor at the Jewish theological Seminary and Father of Allen Ginsberg	1896	1976	Allen-Ginsberg[1].jpg	190906
Jean-Baptiste	Girard	French-Swiss Educator	1765	1850	Le_g%C3%A9n%C3%A9ral_Girard_%28Ecole_fran%C3%A7aise_du_XIX%C3%A8me_si%C3%A8cle%29[1].jpg	190907
George	Gissing, fully George Robert Gissing	English Novelist, Critic, Essayist	1857	1903	6327249[1].jpg	190908
William B.	Given, Jr.	American Businessman and Author	1941	NULL	edg_team_stan_260x240[1].jpg	190909
Joseph	Glanvill	English Writer, Philosopher and Clergyman	1630	1680	glanville[1].jpg	190911
Arnold Henry	Glasgow	American Humor Magazine Publisher, Thinker, Author publishing first book at age 92 called "Gloombusters"	1903	1998	Arnold+Henry+Glasow+1905-1998[1].jpg	190912
Mikhail	Glinka, fully Mikhail Ivanovich Glinka	Russian Classical Music Composer	1804	1857	glinka[1].jpg	190913
Gobyrus	NULL	NULL	c. 525 B.C.	NULL	0655_golden_money_frog_coins_good_fortune_2[1].jpg	190915
Harold Clarke	Goddard	American English Professor at Swarthmore	1878	1950	11[1].jpg	190916
Kurt	Gödel, also Goedel	Austrian-born American Mathematician, Logician	1906	1978	KurtGodel[1].JPG	190918
Frédéric Louis	Godet	Swiss Protestant Theologian, Professor of theology and Pastor at Neuchâtel, one of the founders of the free Evangelical Church of Neuchâtel	1812	1900	180px-FredericGodet[1].JPG	190919
Jean-Baptiste André 	Godin	French Industrialist and Social Experimentor	1817	1888	220px-Godin_statue_Guise[1].jpg	190920
Gail	Godwin, fully Gail Kathleen Godwin	American Best-Selling American Novelist and Short Story Writer	1937	NULL	Godwin258[1].jpg	190921
Mildred & Victor	Goertzel	American Teachers and Authors of Cradles of Eminence	1906	2000 and 1999 respectively	Top-39.BMP[1].jpg	190922
George Washington	Goethals	American Engineer and General, Chief Engineer on the Panama Canal	1858	1928	GeorgeWashingtonGoethals[1].jpg	190923
Erving	Goffman	Canadian-born American Anthropologist, Educator, Sociologist and Writer	1922	NULL	Goffman[1].jpg	190924
Carlo	Goldoni	Italian Dramatist	1707	1793	goldoni1270[1].jpg	190925
Nikolai 	Gogol, fully Nikolai Vasilievich Gogol or Nikolay Vasilyevich Gogol	Russian Novelist, Playwright and Short-Story Writer	1809	1852	Gogol_Portrait[1].jpg	190927
Robert F.	Goheen, fully Robert Francis Goheen	American Academic, Educator, President of Princeton University and U.S. Ambassador of India	1919	2008	10goh[1].jpg	190928
Herbert	Gold	American Businessman	1924	NULL	Gold,%20Herbert[1].jpg	190929
Soma	Golden, fully Soma Golden Behr	American Writer and Editor, Senior Editor of The New York Times, Director of the New York Times College Scholarship Program, President of The New York Times Foundation	1939	NULL	en-us[1].jpg	190930
Ruth Barrick	Golden	NULL	NULL	NULL	destiny-life-150x150[1].jpg	190932
Alvin Ira	Goldman	American Professor of Philosophy at Rutgers	1938	NULL	goldman2[1].jpg	190933
Albert	Goldrich	Lubavitch Chabad 	1923	2010	Chabad_Lubavitch_Conference_t607[1].jpg	190934
Nathan	Goldstein	American Artist, Educator and Author	NULL	1927	ng_portrait_036[1].jpg	190936
John Mason	Good	English Physician	1764	1827	Memoirs of Good 1.jpg	190938
Robert H.	Goddard, fully Robert Hutchings Goddard	American Professor, Physicist and Inventor of the first liquid-fueled rocket	1882	1945	Stamp-robert_h_goddard[1].jpg	190939
Alban	Goodier	Jesuit and Roman Catholic Archbishop of Bombay	1869	1939	Alban%20Goodier[1].gif	190941
Nelson	Goodman, fully Henry Nelson Goodman	American Philosopher	1906	1998	Nelson_Goodman[1].jpg	190942
S. G.	Goodrich, fully Samuel Griswold Goodrich, pen name Peter Praley	American Writer, Editor	1793	1860	Goodrich-Parley-th[1].jpg	190944
A. D. 	Gordon, fully Aaron David Gordon	Israeli Writer, Zionist Ideologue	1856	1922	adgordon[1].jpg	190945
William J. J.	Gordon	American Inventor and Psychologist, Creator of a problem-solving approach called Synectics	1919	2003	gordon-william[1].jpg	190946
Suzanne	Gordon	American Author, Journalist and Professor	c. 1951	NULL	s[1].jpg	190948
Mervyn Henry	Gordon	British Medical Microbiological Researcher, Bacteriologist and Physician	1872	1953	brmedj03499-0050-a[1].gif	190949
Charles	Gore	English Theologian, Anglican Bishop	1853	1932	gore1[1].jpg	190950
Edmund 	Gosse, fully Sir Edmund William Gosse	English Scholar, Author, Poet and Critic	1849	1928	170px-Edmund_Gosse_by_John_Singer_Sargent[1].jpg	190953
Meyrick	Goulburn, fully Edward Meyrick Goulburn	English Divine and Recorder of Leicester, Dean of Norwich	1818	1897	mw198464[1].jpg	190955
Samuel B.	Gould	American Visionary Educator, President of Antioch College and State University of New York, known for promoting access to education through non-traditional means such as educational television, college teacher-mentor systems, and universities without walls	1910	1997	1101680112_400[1].jpg	190956
Léon	Gozlan	French Jewish Novelist and Playwright	1803	1966	L%C3%A9on_Gozlan_%28Nadar%29[1].jpg	190959
Eugene Gifford	Grace	One of History's Foremost Capitalists. President and Chairman of Bethlehem Steel Corporation, President of the American Iron and Steel Institute, Board of Trustees for Lehigh University	1876	1960	Graceheadshot1[1].png	190960
Gordon	Graham	Attorney, Law Enforcement, Risk Management Consultant, Founder of Lexipol, a company designed to standardize policy, procedure and training in public safety operations	NULL	NULL	photo_gordon01[1].jpg	190963
R. B. Cunninghame	Graham, fully Robert Bontine Cunninghame Graham	Scottish Essayist, Politician, Writer, Journalist and Adventurer, Liberal Socialist Party Member of Parliament	1852	1936	POZO+Y+HUDSON+2+(6)[1].jpg	190966
Virginia	Graham	American Daytime Television Talk Host	1912	1998	65279-virginia-graham-1912-7f1be[1].jpg	190967
Ulysses S.	Grant, fully Ulysses Simpson Grant, born Hiram Ulysses Grant	American General, 18th President of the United States	1822	1885	bf201dbcbf8a4fe233c88c3953b12e54[1].jpg	190968
John Cartaret	Carteret,  1st Earl Granville	English Statesman	1695	1714	screen_447d8aaa2fc30[1].jpg	190969
Günter Wilhelm	Grass	German Author, Poet, Playwright, Sculptor and Artist, Nobelaureate	1927	NULL	GUNTER+GRASS[1].jpg	190970
Henry	Grattan	Irish Statesman	1746	1820	zpage070c[1].gif	190971
Nancy	Graves	American Painter, Sculptor, Printmaker and Filmmaker	1939	1995	nancy-graves-mapplethorpe-86[1].jpg	190972
Gian Vincenzo	Gravina	Italian Man of Letters and Jurist	1664	1718	100px-Dante_Disputa[1][1].jpg	190973
Pope Leo I, aka Pope Leo The Great, Pope Saint Leo I	NULL	First Pope of the Catholic Church to be called "Great"	c. 391	c. 461	Leo_the_Great[1].jpg	190977
John Richard	Green	English Journalist and Historian	1837	1883	200px-JRGreen[1].jpg	190978
Julien	Green	French Novelist of American Parentage, best known for Léviathan and Each in His Own Darkness	1900	1998	220px-Julian_Green[1].jpg	190979
Crawford	Greenewalt, fully Crawford Hallock Greenewalt	American Chemical Engineer, President and Chairman of the DuPont Company 	1902	1993	Greenewalt[1].jpg	190981
Brian	Greer	American Psychiatrist specializing in ADD/ADHD, depression, anxiety, eating disorders, weight loss, bipolar, mood disorders	1959	NULL	briangreermd[1].jpg	190982
Germaine	Greer	Australian-born English Writer, Academic and Journalist, Author of The Female Eunuch	1939	NULL	Germaine_Greer_m118348[1].jpg	190983
Samuel	Gregory	American Philanthropist, Medical Educator, Physician, Opened Boston Female Medical School	1813	1872	1-s2.0-S0315086004000205-gr003[1].jpg	190985
Edvard	Grieg, fully Edvard Hagerup Grieg	Norwegian Composer and Pianist who composed in the Romantic period	1843	1907	EdvardGrieg04[1].jpg	190987
Bede	Griffiths, born Alan Richard Griffiths and also known as Swami Dayananda (Bliss of Compassion	British-born Benedictine Monk 	1906	1993	griffiths[1].jpg	190989
Edward Howard	Griggs	English Author, Biographer and Inspirational Speaker	1868	1951	163264309.0.m[1].jpg	190990
Friedrich	Melchior, Baron von Grimm	German-born French-language Author	1723	1807	Friedrich_Melchior_Grimm[1].jpg	190991
Lewis	Grizzard, fully Lewis McDonald Grizzard, Jr.	American Southern Humorist and Author	1946	1994	LewsG1[1].jpg	190993
Walter	Gropius, fully Walter Adolph Georg Gropius	German Architect and Founder of the Bauhaus School along with Ludwig Mies van der Rohe	1883	1969	18987_lg[1].jpg	190995
Maurice	Grosser	American Landscape Artist, Painter and Writer	1903	1986	50[1].jpg	190996
Moses H.	Grossman	American Jurist, Edited The Arena, Philanthropist	1873	1942	Grossman[1].jpg	190997
Weedon	Grossmith, fully Walter Weedon Grossmith	English Writer, Painter, Actor and Playwright, best known for co-writing "The Diary of a Nobody" with his famous brother George Grossmith	1854	1919	220px-Weedon_Grossmith_from_Play_Pictorial[1].jpg	190998
Hugo	Grotius, also known as Huig de Groot, Hugo Grocio or Hugo de Groot	Jurist in Dutch Republic	1583	1645	grotius[1].jpg	190999
Edwin Osgood	Grover	American Publisher and Educator at Rollins College and Creator of Mead Garden	1870	1965	grover[1].png	191001
Frank	Gruber, pseudonumns include Stephen Ace, Charles K. Boston & John K. Vedder	American Pulp Author, Screenwriter	1904	1969	gruber[1].jpg	191002
Edward	Grymestone	English Notable	fl. 1446	NULL	Petrus_christus,_ritratto_di_Edward_Grimston[1].jpg	191004
Jean	Guéhenno, given name Marcel-Jules-Marie Guéhenno	French Essayist, Writer and Literary Critic	1890	1978	Jean-Guehenno[1].jpg	191006
Peggy	Guggenheim, formally Marguerite "Peggy" Guggenheim	American Art Collector, Author, Bohemian and Socialite	1898	1979	Peggy[1].jpg	191007
John	Gunther	American Journalist, Author	1901	1970	JohnGunther[1].jpg	191009
William	Gurnall	English Author and Clergyman 	1617	1679	gurnallwilliam[1].jpg	191010
Thomas	Guthrie	Scottish Divine	1803	1873	index.1.jpg.pagespeed.ce_.hT1XKpSfhI[1].jpg	191012
Erich	Gutkind	German Jewish Philosopher and Author	1877	1955	51jq9SW9hzL._SL500_AA300_[1].jpg	191013
Perek	Ha-Shalom	Talmudic Tractate Derekh Eretz Zuta on ethical subject of peacefulness	NULL	NULL	greatispeace-784249[1].jpg	191015
Eileen Mary	Haase	American Homebound Teacher	1914	2008	24066-4e0a305759ab2-shrink-x180[1].jpg	191017
Muhammad ibn	al-Habib, aka Shaykh Muhammad ibn al-Habib al-Filâlî,  fully Sayyidi Muhammad ibn al-Habib ibn as-Siddiq al-Amghari al-Idrisi al-Hasani	Moroccan Sufi Master, Islamic Teacher, Author and Shaykh of the Darqawa Tariqa	1862	1972	220px-Al-Habib[1].jpg	191018
Hacaton of Rhodes, also Hecato of Rhodes	NULL	Ancient Greek Stoic Philosopher	fl. c. 100 B.C.	NULL	thumb_COLOURBOX2576458[1].jpg	191019
Walter	Haddon	English Civil Lawyer, Latinist Scholar, Involved with Church and University Affairs	1515	1572	Digitalizar0001[1].jpg	191020
Ernst 	Haeckel, full name Ernst Heinrich Phillip August Haeckel	German Biologist, Naturalist, Philosopher, Physician, Professor and Artist who discovered, described and named thousands of new species, mapped a genealogical tree relating all life forms, and coined many terms in biology	1834	1919	405px-Ernst_haeckel_3[1].jpg	191021
Theodor	Haecker	German Writer, Translator and Cultural Critic, Radical Critic of the Third Reich 	1879	1945	innocent_roman_ingarden-500x723[1].jpg	191022
Hafiz, pen name of Shams-ud-din Muhammad	NULL	Persian Poet	c. 1300	1388	Hafiz_the_Persian[1].jpg	191023
John	Haggai, fully John Edmund Haggai	Author, Evangelist, CEO and Founder of Haggai Institute	c. 1925	NULL	JEHaggai[1].JPG	191025
William Gier Bruno	Hagspiel	Missionary, Clergyman	19th Century	NULL	AJ-008_resized1[1].JPG	191026
Kurt	Hahn, fully Kurt Martin "the rod" Hahn	German Educator	1886	1974	K_Hahn[1].jpg	191027
J. B. S.	Haldane, fully John Burdon Sanderson Haldane	English Geneticist, Biologist, Author	1892	1964	jbs-haldane[1].jpg	191029
Sarah J.	Hale, fully Sarah Josepha Buell Hale	American Author, Editor and Writer, Author of nursery rhyme "Mary Had a Little Lamb"	1788	1879	220px-Sarah_Hale_portrait[1].jpg	191031
Matthew	Hale, fully Sir Matthew Hale	English Barrister, Judge and Lawyer, noted for his treatise "The History of the Pleas"	1609	1676	bbo_occ_8_290x216[1].jpg	191032
Robert	Half	American Founder and President of Robert Half International, one of the U.S.'s oldest and largest temporary staffing companies	1918	2001	roberthalf[1].jpg	191034
Edwin Bradford	Hall	Geologist	1825	1908	edwin-hall-2[1].jpg	191035
Basil	Hall	British Naval Officer from Scotland, Traveller and Author	1788	1844	hall[1].jpg	191036
John	Hall	Irish American Presbytarian Clergy, Author	1829	1898	220px-Fifth_Av_Presbyterian_jeh[1].JPG	191037
William	Hall	English Poet and Antiquary	1748	1825	220px-William_Hall[1].jpg	191041
Sven	Halla	NULL	NULL	NULL	blog-12-image-2[1].jpg	191042
George	Halas, fully George Stanley Halas, Sr., nicknamed "Papa Bear" and "Mr. Everything"	Professional Football Player, Coach, Owner and Pioneer in professional American Football, iconic longtime leader of the NFL's Chicago Bears, lesser known as an Inventor, Jurist, Producer, Philanthropist and Philatelist	1895	1983	george_halas[1].jpg	191043
John	Hallock	American Farmer and Politician from New York	1783	1840	lightbulb_idea[1][1].jpg	191044
Philip G.	Hamerton, fully Philip Gilbert Hamerton	English Author, Painter and Art critic	1834	1894	Hamerton_1_lg[1].gif	191046
Andrew	Hamilton, fully Andrew Jackson Hamilton	American Congressman and Provisional Governor of Texas	1815	1875	small[1].jpg	191048
Edith	Hamilton	American Educator, Author and Classical Scholar	1867	1931	Edith_Hamilton[1].jpg	191049
Gail	Hamilton, Pseud. of Mary A. Dodge	American Author	1830	1896	hamilton[1].jpg	191050
William	Hamilton, fully Sir William Hamilton, 9th Baronet	Scottish Metaphysician and Philosopher	1788	1856	250px-William_Hamilton_b1788[1].jpg	191052
John Alexander	Hammerton, fully Sir John Alexander Hammerton	British Writer, Editor, Reference Creator	1871	1949	100px-French_depiction_of_englishman_wife_selling[1].jpg	191054
Oscar	Handlin	American Author of 30 books, Historian, Editor and Professor of History at Harvard University, Winner of Pulitzer Prize	1915	2011	Obit_Handlin_2_140[1].jpg	191057
Tanhum ben	Hanilai	Palestinian Amora	3rd Century	NULL	rabbi1[1].png	191058
Hama ben	Hanina	Palestinian Rabbi, Head of the Academy at Sepphoris, Amora 	3rd Century	NULL	Saint-Paul[1].jpg	191059
Jose ben	Hanina, or Rabbi Yossi bar Hanina	Jewish Amora Sage of Israel, Dayan Religious Judge	fl. 250	NULL	verso-of-the-first-sketch-king-cambyses[1].jpg	191060
Patrick	Hannay	Scottish Poet and Courtier	NULL	1629	31Ri4mv6S3L._SL500_AA300_[1].jpg	191061
Edmond	Haraucourt	French Novelist, Poet, Playwright	1856	1941	Edmond_Haraucourt_1913[1].jpg	191063
Garrett	Hardin, fully Garrett James Hardin	American Ecologist who wrote on the dangers of overpopulation	1915	2003	pic_gh_1978_g[1].jpg	191064
Sandra G.	Harding	American Philosopher of Feminist and Post-Colonial Theory, Epistemology, Research Methodology and Philosophy of Science	1935	NULL	harding[1].gif	191065
Arthur Sherburne	Hardy	American Engineer, Educator, Editor, Diplomat, Novelist and Poet	1847	1930	200px-Arthur_Sherburne_Hardy[1].jpg	191066
John	Hardyng or Harding	English Chronicler	1378	1465	9781143322143_t[1].gif	191067
John	Harington, fully Sir John Harington, also Harrington	English Courtier, Translator, Author, Inventor of Flush Toilet	1561	1612	200px-Sir_John_Harington_by_Hieronimo_Custodis[1].jpg	191070
Michael	Harner	American Anthropologist, Shaman, Author, Founder and President of the Foundation for Shamanic Studies 	1929	NULL	Michael_Harner[1].jpg	191071
E. Roland	Harriman, born Edward Roland Noel Harriman, aka "Bunny"	American Financier and Philanthropist	1895	1978	$(KGrHqVHJCME8fY(zJS)BPLIbGmTp!~~60_35[1].JPG	191072
James	Harrington or Harington	English Political Philosopher	1611	1677	175px-James_Harrington_by_Sir_Peter_Lely[1].jpg	191073
E.H. (Edward Henry)	Harriman, fully Edward Henry "Ned" Harriman	American Financier, Railroad Magnate	1848	1909	69E2E-e--h--harriman[1].png	191076
Harwell Hamilton	Harris	American Modernist Architect	1903	1990	001+%282%29[1].jpg	191080
Lawren	Harris, fully Lawren Stewart Harris	Canadian Painter	1885	1970	200px-Lawren_Harris[1].JPG	191081
Mark	Harris	American Novelist, Literary Biographer, Pop Culture Thinker and Educator	1922	2007	HarrisMark[1].jpg	191082
Seymour E.	Harris	American Political Economist, Professor at Harvard University and University of California	1897	1974	aa1093e0-6361-11e2-985d-514ec77b8199_633541804--646x363[1].jpg	191083
Janet	Harrison	NULL	NULL	NULL	earth-in-hands-300[1].jpg	191085
Henry Robert	Harrower	English-born American Physician, Controversial Figure in Endocrinology, Author	1883	1934	11A1FB4B3GL._SL500_AA300_[1].jpg	191086
Moss	Hart	American Playwright and Theatre Director	1904	1961	moss-hart-stamp[1].gif	191089
Oliver J.	Hart, fully Bishop Oliver J. Hart	American Clergy, Episcopal Bishop in Pennsylvania 	1893	1978	r806068_7149247[1].jpg	191090
Moses	Harvey	Irish Clergyman, Essayist and Naturalist	1820	1901	moses_harvey_550[1].jpg	191092
A. C.	Harwood	American Author on Anthroposophy, Characters, Education, Philosophy and Waldorf Method of Education	1872	1975	Self_1985[1].jpg	191094
Moses	Hasid	American Author, Artist, Philosopher, Publicist and Magazine Editor	1955	1998	Gloom%20Logo%20Sketch[1].jpg	191095
Molly	Haskell	American Feminist Film Critic and Author	1939	NULL	MollyHaskell[1].jpg	191096
Henry H.	Haskins	American Stockbroker and Man of Letters, his Aphorisms were edited and published anonymously	1875	1957	0_0_780_1354[1].jpg	191097
Harrison Eugene	Havens	American Lawyer and Politician	1837	1916	12497859_136914182918[1].jpg	191101
Josiah Johnson "J."	Hawes	American Photographer	1850	1855	175px-JosiahJohnsonHawes_1850s[1].png	191102
Frances Ridley	Havergal	English Poet, Composer of Hymns	1836	1879	Frances-Havergal-Poet[1].jpg	191103
Anna Lorette Rose	Hawkes	American Writer for Carnegie Foundation with William S. Learned, President for the Women's Association of University Women	1843	NULL	past-present-future[1].jpg	191104
S. I.	Hayakawa, fully Samuel Ichiye Hayakawa	Canadian-born American Academic and Political Figure of Japanese Ancestry, English Professor, President of San Francisco State University, Senator for California	1906	1992	Hayakawa,%20Samuel%20Ichiye[1].jpg	191107
Rutherford B.	Hayes, fully Rutherford Birchard Hayes	American Politician, 19th President of the United States who oversaw the end of Reconstruction	1822	1893	us-presidential-portrait-rutherford-b-hayes-19th-president-of-the-united-states-of-america[1].jpg	191108
Arthur Garfield	Hays	Attorney active in Civil Liberties	1881	1954	Arthur-Garfield-Hays150[1].jpg	191109
John	Hazlitt	English Artist, Elder Brother of Essayist William Hazlitt	1767	1837	John_Hazlitt_Portrait_of_William_Hazlitt[1].jpg	191110
William Randolph	Hearst	American Newspaper Publisher, Politician, U.S. House of Representatives, ran unsuccessfully for Governor and Mayor of New York	1863	1951	hearst[1].jpg	191111
Edward	Heath, fully Sir Edward Richard George "Ted" Heath	British Conservative Prime Minister	1916	2005	Edward_Heath[1].jpg	191112
M. V.	Heberden, fully Mary Violet Heberden	American Author of Mystery and Suspense Novels	1906	1965	heberden2[1].jpg	191114
Isaac Thomas	Hecker	American Roman Catholic Priest, Founder of the Paulists	1819	1888	220px-Hecker1[1].jpg	191116
Job E.	Hodges	NULL	NULL	NULL	earth1_custom-dd82b7ea8070b43a5b60882d04596e7ff409875d-s6-c30[1].jpg	191117
Jascha	Heifetz	Russian-born U.S. Violinist, regarded as one of the greatest violinists of all time	1901	1987	heifetz[1].jpg	191118
Robert	Heilbroner, fully Robert Louis Heilbroner	American Economist,Historian of Economic Thought and Author best known for his book "The Worldly Philosophers"	1919	2005	0[2].jpg	191119
Carolyn Gold	Heilbrun, pen name Amanda Cross	American Academic and Author of Mystery Novels, Academic, Prolific Feminist Author 	1926	2003	heilbrun[1].jpg	191120
